"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Joy";;;
2;"J3";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Dual_V24";;;
3;"J2";"DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"LPT";;;
4;"XM1";"KC85_Modul";1;"KC85_Modulsteckverbinder";;;
5;"RN2,RN1";"R_Array_SIP8";2;"3K9";;;
6;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
7;"C5";"CP_Radial_D6.3mm_P2.50mm";1;"560µ";;;
8;"C4,C3,C2,C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";4;"100n";;;
9;"C6,C7,C8,C9,C10,C11,C12,C13,C14,C15";"C_Disc_D3.4mm_W2.1mm_P2.50mm";10;"1µ";;;
10;"D1,D2";"D_DO-15_P10.16mm_Horizontal";2;"GA104";;;
11;"IC1";"DIP-28_W15.24mm_LongPads";1;"CTC-DIP-28";;;
12;"IC2";"DIP-40_W15.24mm_LongPads";1;"SIO0-DIP-40";;;
13;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100";;;
14;"U1";"DIP-14_W7.62mm_LongPads";1;"74LS74";;;
15;"U2";"DIP-14_W7.62mm_LongPads";1;"74LS02";;;
16;"U3";"DIP-14_W7.62mm_LongPads";1;"74LS08";;;
17;"U4";"DIP-40_W15.24mm_LongPads";1;"Z80PIO";;;
18;"U5";"DIP-20_W7.62mm_LongPads";1;"GAL16V8";;;
19;"U6,U7";"DIP-16_W7.62mm_LongPads";2;"MAX232I";;;
